timestamp,Temperature,Humidity,Pressure
10,25.95,32.27,891.20
20,25.96,33.02,891.17
30,25.98,32.51,891.20
40,26.00,33.11,891.19
50,26.02,32.85,891.16
60,25.86,53.77,891.31
70,25.50,37.77,891.18
80,25.64,34.98,891.19
90,25.76,33.96,891.20
100,25.87,36.26,891.21
110,25.92,34.98,891.21
120,26.00,34.91,891.22
130,26.03,34.53,891.19
140,26.04,33.61,891.19
150,26.04,33.78,891.19
160,26.04,32.89,891.19
170,26.06,33.37,891.21
180,26.06,32.88,891.21
190,26.03,32.41,891.22
200,26.03,32.90,891.21
210,26.02,33.57,891.22
220,26.07,33.42,891.20
230,26.08,32.27,891.24
240,26.13,33.12,891.22
250,26.11,32.18,891.22
260,26.17,32.47,891.24
270,26.17,32.29,891.23
280,26.19,33.38,891.21
290,26.18,32.60,891.23
300,26.19,32.59,891.24
310,26.22,32.67,891.22
320,26.25,32.17,891.20
330,26.22,31.82,891.21
340,26.25,33.72,891.20
350,26.25,34.85,891.22
360,26.24,33.44,891.22
370,26.24,33.73,891.23
380,26.21,32.17,891.20
390,26.23,32.60,891.23
400,26.24,31.92,891.24
410,26.28,32.77,891.20
420,26.28,32.93,891.23
430,26.27,32.17,891.20
440,26.28,32.55,891.20
450,26.27,33.12,891.20
460,25.69,62.92,901.75
470,25.39,69.29,895.42
480,25.36,70.95,898.98
490,25.39,71.65,903.06
500,25.43,72.31,907.95
510,25.47,72.69,913.88
520,25.52,72.95,908.64
530,25.55,73.36,901.39
540,25.57,73.64,897.32
550,25.58,73.87,892.65
560,25.48,44.78,891.25
570,25.75,37.62,891.21
580,25.98,37.36,891.19
590,26.16,36.41,891.19
600,26.32,37.14,891.19
610,26.41,33.86,891.11
620,26.48,33.15,891.15
630,26.55,33.17,891.13
640,26.60,33.08,891.13
650,26.98,34.17,891.12
660,27.22,34.34,891.16
670,27.30,34.71,891.12
680,27.12,33.13,891.15
690,27.04,32.67,891.14
700,27.01,31.83,891.12
710,27.00,33.12,891.18
720,27.05,33.54,891.15
730,27.07,32.20,891.15
740,27.06,31.56,891.18
750,27.05,31.27,891.20
760,27.07,32.20,891.13
770,27.05,31.66,891.12
780,27.01,31.47,891.18
790,26.99,31.18,891.16
800,26.99,31.18,891.19
810,26.98,31.64,891.16
820,26.97,31.39,891.17
830,27.18,33.05,891.18
840,27.25,32.76,891.21
850,27.17,32.60,891.18
860,27.09,31.12,891.15
870,27.06,31.68,891.19
880,27.06,33.61,891.20
890,27.07,33.31,891.20
